Date,Open,High,Low,Close,Adj Close,Volume
2012-06-19,385920.0,386640.0,374640.0,379520.0,307907.375,165
2012-06-20,377440.0,386800.0,373760.0,378240.0,306868.8125,203
2012-06-21,380000.0,408000.0,378240.0,406480.0,329780.1875,219
2012-06-22,402800.0,405760.0,392240.0,393840.0,319525.28125,149
2012-06-25,403360.0,419840.0,403120.0,416800.0,338152.8125,329
2012-06-26,412480.0,418000.0,405120.0,408640.0,331532.53125,167
2012-06-27,403680.0,405280.0,395920.0,401360.0,325626.3125,115
2012-06-28,410480.0,427040.0,409440.0,413920.0,335816.21875,238
2012-06-29,390560.0,394080.0,375360.0,375360.0,304532.3125,229
2012-07-02,373840.0,380480.0,371440.0,371600.0,301481.75,153
2012-07-03,371680.0,373200.0,362800.0,362800.0,294342.25,77
2012-07-05,363760.0,369360.0,356560.0,362000.0,293693.1875,189
2012-07-06,366720.0,383040.0,366000.0,375360.0,304532.3125,234
2012-07-09,376960.0,382880.0,372880.0,377360.0,306154.84375,151
2012-07-10,371040.0,392640.0,368400.0,387840.0,314657.4375,234
2012-07-11,389920.0,404320.0,386720.0,394720.0,320239.15625,262
2012-07-12,404080.0,416560.0,401120.0,406000.0,329390.75,303
2012-07-13,402560.0,403280.0,384800.0,387760.0,314592.4375,173
2012-07-16,390160.0,395120.0,384880.0,390800.0,317058.90625,143
2012-07-17,383520.0,401200.0,380720.0,384560.0,311996.34375,185
2012-07-18,387200.0,387200.0,365440.0,368640.0,299080.21875,244
2012-07-19,361360.0,363040.0,353120.0,356640.0,289344.65625,232
2012-07-20,356880.0,371040.0,356560.0,370080.0,300248.5625,220
2012-07-23,392160.0,400480.0,380320.0,384000.0,311542.0,245
2012-07-24,382560.0,400160.0,380640.0,392960.0,318811.3125,231
2012-07-25,402160.0,408080.0,393520.0,400960.0,325301.71875,200
2012-07-26,383520.0,392560.0,377760.0,385680.0,312904.96875,190
2012-07-27,376720.0,380080.0,355680.0,357040.0,289669.15625,219
2012-07-30,354720.0,361920.0,350240.0,358880.0,291161.90625,261
2012-07-31,356880.0,359600.0,352400.0,359200.0,291421.59375,184
2012-08-01,351120.0,366240.0,350960.0,361200.0,293044.1875,198
2012-08-02,370720.0,373600.0,354880.0,365440.0,296484.0625,311
2012-08-03,348000.0,351680.0,340000.0,344640.0,279608.9375,321
2012-08-06,339760.0,341520.0,332320.0,336880.0,273313.125,202
2012-08-07,332320.0,334080.0,324240.0,328400.0,266433.3125,220
2012-08-08,330960.0,332400.0,326640.0,328960.0,266887.625,209
2012-08-09,328880.0,330640.0,324480.0,326240.0,264680.875,143
2012-08-10,329200.0,331600.0,324960.0,324960.0,263642.4375,143
2012-08-13,325120.0,330400.0,322720.0,322720.0,261825.046875,114
2012-08-14,319360.0,325040.0,317200.0,322400.0,261565.453125,167
2012-08-15,323040.0,323280.0,318480.0,320000.0,259618.3125,124
2012-08-16,316480.0,317440.0,306160.0,308480.0,250272.078125,231
2012-08-17,306560.0,308480.0,304240.0,304320.0,246896.984375,168
